"data_attributes_name","data_attributes_latitude","data_attributes_longitude","data_attributes_stop_id"
"Tremont St opp Temple Pl",42.355692,-71.062911,"10000"
"Tremont St @ Boylston Station",42.353247,-71.064353,"8279"
"285 Tremont St",42.349606,-71.065439,"8281"
"Tremont St @ Charles St S",42.348777,-71.066481,"1242"
"Tremont St @ Appleton St",42.346699,-71.069114,"168"
"Tremont St @ Berkeley St",42.345466,-71.0698,"11245"
"Tremont St @ Union Pk",42.343673,-71.072264,"1246"
"Tremont St @ Dartmouth St",42.34291,-71.07369,"1247"
"Tremont St @ Pembroke St",42.341738,-71.075917,"1248"
"Tremont St @ Rutland Sq",42.341006,-71.077301,"1249"
"Tremont St @ Worcester St",42.340187,-71.078787,"1250"
"Tremont St @ W Springfield St",42.339703,-71.079768,"1251"
"Tremont St @ Northampton St",42.338955,-71.081129,"1252"
"Tremont St @ Douglas Pk",42.337824,-71.083178,"1253"
"Tremont St @ Burke St",42.336908,-71.0848,"1254"
"Tremont St @ Columbus Ave",42.335779,-71.086948,"1255"
"Ruggles",42.336377,-71.088961,"place-rugg"
"Tremont St @ Ruggles St",42.334793,-71.088549,"1226"
"Tremont St @ Melnea Cass Blvd",42.335698,-71.086826,"1227"
"Tremont St @ Hammond St",42.337226,-71.084022,"1228"
"Tremont St @ Lenox St",42.337782,-71.083038,"11228"
"Tremont St @ Northampton St",42.338746,-71.081156,"1230"
"Tremont St @ W Springfield St",42.339584,-71.079623,"1231"
"Tremont St @ W Concord St",42.340407,-71.078156,"1232"
"Tremont St @ W Newton St",42.341236,-71.076653,"1233"
"Tremont St @ W Brookline St",42.341887,-71.075413,"1234"
"Tremont St @ W Dedham St",42.342666,-71.073943,"1235"
"Tremont St @ Waltham St",42.343873,-71.071653,"1236"
"Tremont St @ E Berkeley St",42.345145,-71.069868,"1237"
"Tremont St @ Herald St",42.347363,-71.068607,"1238"
"Tremont St @ Marginal St",42.34818,-71.067595,"1239"
"Charles St S @ Park Plaza",42.351748,-71.067101,"1241"
"Charles St @ Beacon St",42.356083,-71.06926,"9980"
"Beacon St opp Walnut St",42.356954,-71.065766,"9981"
"Beacon St @ Park St",42.357656,-71.06328,"9982"
