stopid,avdelay,avfreqdelay
1,1.18,0.42
2,0.96,0.34
3,1.27,0.37
4,1.23,0.34
5,0.91,0.28
6,0.96,0.34
55,1.31,0.25
57,0.65,0.24
58,1.00,0.29
59,1.22,0.28
60,1.30,0.26
61,1.36,0.27
62,1.21,0.25
63,0.81,0.22
64,0.16,0.03
66,1.47,0.69
67,1.40,0.63
68,1.06,0.48
69,1.25,0.54
71,0.77,0.33
72,1.00,0.35
73,1.09,0.39
74,0.98,0.42
75,1.05,0.37
77,0.50,0.15
79,0.75,0.21
80,0.55,0.16
82,0.98,0.28
83,1.21,0.29
84,1.31,0.34
87,0.85,0.33
88,0.78,0.25
89,1.39,0.37
91,1.17,0.29
93,1.02,0.24
95,1.46,0.34
97,0.93,0.25
99,1.05,0.27
101,0.84,0.25
102,1.25,0.30
104,1.57,0.37
106,1.41,0.34
107,1.29,0.30
108,1.28,0.30
109,0.81,0.19
110,0.03,0.01
168,2.24,0.65
187,0.89,0.25
188,1.33,0.37
854,1.17,0.26
856,1.38,0.32
1226,1.63,0.81
1227,0.94,0.50
1228,0.94,0.41
1230,1.00,0.47
1231,1.67,0.67
1232,1.22,0.50
1233,1.56,0.67
1234,1.83,0.72
1235,1.61,0.56
1236,1.50,0.56
1237,1.44,0.61
1238,1.50,0.67
1239,1.56,0.56
1241,1.47,0.47
1242,1.63,0.63
1246,2.74,0.74
1247,2.37,0.63
1248,2.53,0.68
1249,2.26,0.63
1250,1.95,0.47
1251,2.11,0.58
1252,2.05,0.47
1253,2.00,0.50
1254,1.95,0.50
1255,1.65,0.45
1787,1.26,0.31
1788,1.00,0.27
2166,0.98,0.50
2167,1.06,0.55
2168,0.56,0.18
5093,0.99,0.29
5095,1.04,0.27
5098,1.29,0.23
5100,1.35,0.27
6537,0.54,0.13
6538,0.10,0.03
6565,1.40,0.33
6567,2.00,0.34
8279,1.69,0.32
8281,1.81,0.63
9980,0.58,0.26
9981,0.32,0.16
9982,0.26,0.11
10000,0.24,0.09
10003,0.81,0.29
10100,1.41,0.29
10101,1.16,0.24
10590,1.21,0.34
11228,1.06,0.59
11245,1.82,0.59
15095,1.24,0.31
15176,1.42,0.27
17863,0.00,0.00
19402,1.35,0.27
49001,0.79,0.10
49002,1.72,0.28
49003,1.64,0.32
